country,lat,lon
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Bahrain,26.0667,50.5577
Belgium,50.5039,4.4699
Brazil,-14.235,-51.9253
Canada,56.1304,-106.3468
Channel Islands,49.3723,-2.3644
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.473
Denmark,56.2639,9.5018
EIRE,53.1424,-7.6921
European Community,50.8503,4.3517
Finland,61.9241,25.7482
France,46.2276,2.2137
Germany,51.1657,10.4515
Greece,39.0742,21.8243
Hong Kong,22.3964,114.1095
Iceland,64.9631,-19.0208
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Japan,36.2048,138.2529
Lebanon,33.8547,35.8623
Lithuania,55.1694,23.8813
Malta,35.9375,14.3754
Netherlands,52.1326,5.2913
Norway,60.472,8.4689
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
RSA,-30.5595,22.9375
Saudi Arabia,23.8859,45.0792
Singapore,1.3521,103.8198
Spain,40.4637,-3.7492
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
USA,37.0902,-95.7129
United Arab Emirates,23.4241,53.8478
United Kingdom,55.3781,-3.436
